id_menage,region,taille_menage,superficie_cultivee_ha,revenu_agricole_fcfa,acces_eau_potable,culture_principale,depend_pluie,precipitation_mm,temperature_moy_c,ndvi,precipitation_norm,ndvi_norm,revenu_norm,superficie_norm,indice_vulnerabilite
MEN00001,Saint-Louis,4,0.7,676778,0,Arachide,0,85.58833333333334,28.904999999999998,0.3875,0.8691204756076242,0.1843317972350229,0.304072185519495,0.021052631578947364,0.59
MEN00002,Matam,4,6.9,1971036,0,Sorgho,1,82.14833333333333,28.875,0.38383333333333336,0.6886693477880748,0.08294930875576054,0.9890989195248746,0.6736842105263158,0.6
MEN00003,Dakar,3,1.4,587925,0,Sorgho,0,75.38833333333334,29.01833333333333,0.39783333333333337,0.3340618989333803,0.4700460829493097,0.25704394200345726,0.09473684210526315,0.64
MEN00004,Matam,13,7.2,979796,0,Maïs,1,82.14833333333333,28.875,0.38383333333333336,0.6886693477880748,0.08294930875576054,0.4644539879768429,0.7052631578947368,0.67
MEN00005,Tambacounda,3,7.7,434829,1,Riz,1,76.045,28.790000000000003,0.4086666666666667,0.36850848050358487,0.7695852534562218,0.17601307113436657,0.7578947368421053,0.48
MEN00006,Diourbel,6,9.6,805889,0,Mil,1,77.41499999999999,29.205,0.3998333333333334,0.44037419129218375,0.5253456221198167,0.37240824112368565,0.9578947368421052,0.61
MEN00007,Thies,8,8.6,1366105,1,Mil,1,80.42,29.023333333333333,0.412,0.5980066445182728,0.8617511520737324,0.6689201705979928,0.8526315789473684,0.33
MEN00008,Ziguinchor,4,9.7,893844,0,Sorgho,1,84.96000000000001,28.91166666666667,0.39566666666666667,0.8361601678615149,0.4101382488479261,0.41896118990935527,0.9684210526315788,0.54
MEN00009,Kedougou,13,6.4,1907130,1,Sorgho,0,69.02,28.853333333333335,0.4063333333333333,0.0,0.7050691244239631,0.955274660016069,0.6210526315789474,0.32
MEN00010,Matam,4,0.9,577937,1,Mil,0,82.14833333333333,28.875,0.38383333333333336,0.6886693477880748,0.08294930875576054,0.2517574790113446,0.042105263157894736,0.5
MEN00011,Kedougou,4,4.1,1050870,1,Arachide,1,69.02,28.853333333333335,0.4063333333333333,0.0,0.7050691244239631,0.5020721368256028,0.3789473684210526,0.58
MEN00012,Kaffrine,6,6.9,1571823,0,Sorgho,0,69.33833333333334,29.235,0.394,0.016698723553069186,0.36405529953917076,0.777802889241508,0.6736842105263158,0.56
MEN00013,Ziguinchor,14,2.8,1069429,1,Riz,0,84.96000000000001,28.91166666666667,0.39566666666666667,0.8361601678615149,0.4101382488479261,0.5118950710136904,0.2421052631578947,0.34
MEN00014,Saint-Louis,8,8.5,1727389,0,Arachide,0,85.58833333333334,28.904999999999998,0.3875,0.8691204756076242,0.1843317972350229,0.8601410852598296,0.8421052631578947,0.38
MEN00015,Tambacounda,8,4.3,238807,0,Sorgho,1,76.045,28.790000000000003,0.4086666666666667,0.36850848050358487,0.7695852534562218,0.07226226530337883,0.39999999999999997,0.7
MEN00016,Fatick,13,5.2,1955315,1,Arachide,1,88.08333333333333,28.970000000000002,0.397,1.0,0.44700460829493127,0.9807780860548103,0.4947368421052632,0.34
MEN00017,Diourbel,6,7.6,1230317,1,Sorgho,1,77.41499999999999,29.205,0.3998333333333334,0.44037419129218375,0.5253456221198167,0.5970501028393832,0.7473684210526316,0.46
MEN00018,Louga,9,3.9,390102,1,Mil,0,77.45166666666667,28.598333333333336,0.39033333333333337,0.44229760447630734,0.26267281105990836,0.15233990030454853,0.35789473684210527,0.48
MEN00019,Kedougou,4,2.0,435506,1,Sorgho,0,69.02,28.853333333333335,0.4063333333333333,0.0,0.7050691244239631,0.17637139466717194,0.15789473684210525,0.51
MEN00020,Kolda,9,6.2,1081571,1,Sorgho,0,79.40833333333333,29.543333333333333,0.417,0.5449379262108761,1.0,0.5183216062209623,0.6,0.22
MEN00021,Saint-Louis,14,1.6,1955535,1,Riz,0,85.58833333333334,28.904999999999998,0.3875,0.8691204756076242,0.1843317972350229,0.9808945279709361,0.11578947368421054,0.32
MEN00022,Kaolack,9,2.0,106805,1,Sorgho,0,72.70166666666667,28.84333333333333,0.4056666666666667,0.1931281692603605,0.6866359447004612,0.0023960570650074045,0.15789473684210525,0.5
MEN00023,Ziguinchor,4,8.8,725884,0,Arachide,1,84.96000000000001,28.91166666666667,0.39566666666666667,0.8361601678615149,0.4101382488479261,0.330063079761654,0.8736842105263158,0.57
MEN00024,Tambacounda,5,5.6,1732898,0,Sorgho,1,76.045,28.790000000000003,0.4086666666666667,0.36850848050358487,0.7695852534562218,0.8630568966959077,0.5368421052631579,0.56
MEN00025,Sedhiou,3,1.6,861225,1,Arachide,0,77.26333333333334,29.096666666666668,0.38083333333333336,0.4324182549396751,0.0,0.40169655871795334,0.11578947368421054,0.54
MEN00026,Fatick,12,9.5,279628,1,Mil,0,88.08333333333333,28.970000000000002,0.397,1.0,0.44700460829493127,0.09386806284052644,0.9473684210526315,0.25
MEN00027,Diourbel,13,5.0,1253021,0,Riz,1,77.41499999999999,29.205,0.3998333333333334,0.44037419129218375,0.5253456221198167,0.6090669085835688,0.47368421052631576,0.64
MEN00028,Fatick,11,7.7,1546757,0,Riz,1,88.08333333333333,28.970000000000002,0.397,1.0,0.44700460829493127,0.7645359207432805,0.7578947368421053,0.48
MEN00029,Saint-Louis,13,4.0,1986627,1,Mil,0,85.58833333333334,28.904999999999998,0.3875,0.8691204756076242,0.1843317972350229,0.9973509464081374,0.3684210526315789,0.28
MEN00030,Fatick,4,3.7,1333772,0,Sorgho,0,88.08333333333333,28.970000000000002,0.397,1.0,0.44700460829493127,0.6518069138975544,0.3368421052631579,0.41
MEN00031,Dakar,4,7.2,223467,0,Mil,0,75.38833333333334,29.01833333333333,0.39783333333333337,0.3340618989333803,0.4700460829493097,0.06414308806078692,0.7052631578947368,0.57
MEN00032,Kedougou,8,1.2,599131,1,Maïs,0,69.02,28.853333333333335,0.4063333333333333,0.0,0.7050691244239631,0.26297506978575746,0.07368421052631578,0.51
MEN00033,Ziguinchor,5,7.4,1950491,1,Arachide,1,84.96000000000001,28.91166666666667,0.39566666666666667,0.8361601678615149,0.4101382488479261,0.978224832403033,0.7263157894736842,0.35
MEN00034,Tambacounda,9,2.3,303278,1,Riz,1,76.045,28.790000000000003,0.4086666666666667,0.36850848050358487,0.7695852534562218,0.10638556882405309,0.1894736842105263,0.58
MEN00035,Kolda,10,8.7,213605,0,Mil,1,79.40833333333333,29.543333333333333,0.417,0.5449379262108761,1.0,0.05892331452972815,0.863157894736842,0.55
MEN00036,Matam,8,8.1,329153,0,Arachide,0,82.14833333333333,28.875,0.38383333333333336,0.6886693477880748,0.08294930875576054,0.12008072600476141,0.7999999999999999,0.56
MEN00037,Ziguinchor,10,1.8,484802,1,Maïs,0,84.96000000000001,28.91166666666667,0.39566666666666667,0.8361601678615149,0.4101382488479261,0.20246285238234868,0.1368421052631579,0.4
MEN00038,Kedougou,4,4.7,1906379,0,Mil,0,69.02,28.853333333333335,0.4063333333333333,0.0,0.7050691244239631,0.9548771696569304,0.4421052631578948,0.5
MEN00039,Thies,6,2.1,1118463,1,Arachide,1,80.42,29.023333333333333,0.412,0.5980066445182728,0.8617511520737324,0.53784785699239,0.16842105263157894,0.45
MEN00040,Dakar,5,4.1,918773,1,Maïs,1,75.38833333333334,29.01833333333333,0.39783333333333337,0.3340618989333803,0.4700460829493097,0.4321556468507225,0.3789473684210526,0.57
MEN00041,Kolda,14,9.6,1742828,1,Arachide,0,79.40833333333333,29.543333333333333,0.417,0.5449379262108761,1.0,0.8683126613646781,0.9578947368421052,0.12
MEN00042,Kaolack,6,9.7,1314629,0,Riz,0,72.70166666666667,28.84333333333333,0.4056666666666667,0.1931281692603605,0.6866359447004612,0.6416748793502964,0.9684210526315788,0.43
MEN00043,Dakar,12,5.0,1888283,0,Mil,0,75.38833333333334,29.01833333333333,0.39783333333333337,0.3340618989333803,0.4700460829493097,0.9452992927741439,0.47368421052631576,0.48
MEN00044,Kedougou,5,1.2,242524,0,Maïs,0,69.02,28.853333333333335,0.4063333333333333,0.0,0.7050691244239631,0.07422960440446841,0.07368421052631578,0.69
MEN00045,Louga,6,6.0,183344,0,Maïs,1,77.45166666666667,28.598333333333336,0.39033333333333337,0.44229760447630734,0.26267281105990836,0.04290672896662034,0.5789473684210527,0.77
MEN00046,Kaolack,6,6.9,758891,0,Riz,1,72.70166666666667,28.84333333333333,0.4056666666666667,0.1931281692603605,0.6866359447004612,0.34753307215058693,0.6736842105263158,0.67
MEN00047,Diourbel,13,6.6,1058869,1,Mil,0,77.41499999999999,29.205,0.3998333333333334,0.44037419129218375,0.5253456221198167,0.5063058590396506,0.6421052631578947,0.33
MEN00048,Sedhiou,12,10.0,309675,0,Sorgho,0,77.26333333333334,29.096666666666668,0.38083333333333336,0.4324182549396751,0.0,0.10977138217613004,1.0,0.6
MEN00049,Ziguinchor,7,1.8,831924,0,Arachide,1,84.96000000000001,28.91166666666667,0.39566666666666667,0.8361601678615149,0.4101382488479261,0.38618808333430366,0.1368421052631579,0.67
MEN00050,Kaolack,5,4.7,1239210,1,Sorgho,0,72.70166666666667,28.84333333333333,0.4056666666666667,0.1931281692603605,0.6866359447004612,0.6017570026580513,0.4421052631578948,0.37
MEN00051,Saint-Louis,11,3.3,1491226,0,Arachide,1,85.58833333333334,28.904999999999998,0.3875,0.8691204756076242,0.1843317972350229,0.7351443932688104,0.29473684210526313,0.63
MEN00052,Thies,4,7.6,425997,1,Riz,0,80.42,29.023333333333333,0.412,0.5980066445182728,0.8617511520737324,0.17133845748335144,0.7473684210526316,0.27
MEN00053,Matam,8,2.4,1430093,1,Sorgho,1,82.14833333333333,28.875,0.38383333333333336,0.6886693477880748,0.08294930875576054,0.7027878311846272,0.19999999999999998,0.56
MEN00054,Kaolack,3,1.4,988302,1,Mil,0,72.70166666666667,28.84333333333333,0.4056666666666667,0.1931281692603605,0.6866359447004612,0.46895605587941697,0.09473684210526315,0.44
MEN00055,Kaffrine,5,6.6,649360,0,Maïs,1,69.33833333333334,29.235,0.394,0.016698723553069186,0.36405529953917076,0.28956034708159506,0.6421052631578947,0.78
MEN00056,Ziguinchor,3,1.6,1952008,0,Sorgho,0,84.96000000000001,28.91166666666667,0.39566666666666667,0.8361601678615149,0.4101382488479261,0.9790277523428643,0.11578947368421054,0.44
MEN00057,Kedougou,8,6.0,410575,1,Arachide,0,69.02,28.853333333333335,0.4063333333333333,0.0,0.7050691244239631,0.16317587916293083,0.5789473684210527,0.45
MEN00058,Kaolack,8,9.0,1769589,0,Riz,0,72.70166666666667,28.84333333333333,0.4056666666666667,0.1931281692603605,0.6866359447004612,0.8824767618985113,0.8947368421052632,0.41
MEN00059,Saint-Louis,6,6.8,841717,1,Sorgho,0,85.58833333333334,28.904999999999998,0.3875,0.8691204756076242,0.1843317972350229,0.3913713364462139,0.6631578947368421,0.33
MEN00060,Fatick,5,9.8,1800311,0,Maïs,0,88.08333333333333,28.970000000000002,0.397,1.0,0.44700460829493127,0.8987373462040464,0.9789473684210527,0.28
MEN00061,Diourbel,14,9.3,1740783,1,Arachide,1,77.41499999999999,29.205,0.3998333333333334,0.44037419129218375,0.5253456221198167,0.8672302808261448,0.9263157894736843,0.39
MEN00062,Diourbel,14,1.5,1929066,0,Maïs,0,77.41499999999999,29.205,0.3998333333333334,0.44037419129218375,0.5253456221198167,0.966884977616688,0.10526315789473684,0.5
MEN00063,Fatick,10,3.8,1820789,0,Arachide,0,88.08333333333333,28.970000000000002,0.397,1.0,0.44700460829493127,0.9095759714696134,0.34736842105263155,0.37
MEN00064,Saint-Louis,6,4.3,684272,0,Riz,1,85.58833333333334,28.904999999999998,0.3875,0.8691204756076242,0.1843317972350229,0.30803862060789033,0.39999999999999997,0.68
MEN00065,Saint-Louis,11,4.3,1869285,1,Mil,0,85.58833333333334,28.904999999999998,0.3875,0.8691204756076242,0.1843317972350229,0.9352440040352417,0.39999999999999997,0.29
MEN00066,Kaolack,5,6.0,656723,0,Mil,1,72.70166666666667,28.84333333333333,0.4056666666666667,0.1931281692603605,0.6866359447004612,0.2934574463017518,0.5789473684210527,0.69
MEN00067,Kaffrine,14,8.0,1015184,0,Maïs,0,69.33833333333334,29.235,0.394,0.016698723553069186,0.36405529953917076,0.48318419946711944,0.7894736842105263,0.58
MEN00068,Kaolack,3,7.2,103546,0,Riz,1,72.70166666666667,28.84333333333333,0.4056666666666667,0.1931281692603605,0.6866359447004612,0.000671128862034325,0.7052631578947368,0.72
MEN00069,Thies,13,9.2,1406851,1,Mil,1,80.42,29.023333333333333,0.412,0.5980066445182728,0.8617511520737324,0.6904862720273702,0.9157894736842105,0.32
MEN00070,Ziguinchor,7,6.8,784055,1,Riz,0,84.96000000000001,28.91166666666667,0.39566666666666667,0.8361601678615149,0.4101382488479261,0.36085191022963403,0.6631578947368421,0.3
MEN00071,Fatick,9,6.8,895125,0,Sorgho,1,88.08333333333333,28.970000000000002,0.397,1.0,0.44700460829493127,0.4196391994300698,0.6631578947368421,0.55
MEN00072,Kolda,11,8.4,737271,1,Arachide,1,79.40833333333333,29.543333333333333,0.417,0.5449379262108761,1.0,0.3360900074840395,0.8315789473684211,0.37
MEN00073,Tambacounda,12,6.3,775805,1,Maïs,1,76.045,28.790000000000003,0.4086666666666667,0.36850848050358487,0.7695852534562218,0.3564853383749155,0.6105263157894737,0.48
MEN00074,Saint-Louis,6,5.4,1764583,0,Mil,1,85.58833333333334,28.904999999999998,0.3875,0.8691204756076242,0.1843317972350229,0.8798271790252118,0.5157894736842106,0.58
MEN00075,Ziguinchor,13,6.5,802940,0,Arachide,1,84.96000000000001,28.91166666666667,0.39566666666666667,0.8361601678615149,0.4101382488479261,0.37084739016616264,0.631578947368421,0.6
MEN00076,Fatick,6,1.9,196917,0,Maïs,0,88.08333333333333,28.970000000000002,0.397,1.0,0.44700460829493127,0.05009066591014707,0.14736842105263157,0.53
MEN00077,Sedhiou,9,8.9,1307269,0,Maïs,1,77.26333333333334,29.096666666666668,0.38083333333333336,0.4324182549396751,0.0,0.6377793679744506,0.8842105263157896,0.69
MEN00078,Kolda,6,1.9,1542048,0,Mil,1,79.40833333333333,29.543333333333333,0.417,0.5449379262108761,1.0,0.7620435344567508,0.14736842105263157,0.55
MEN00079,Fatick,5,8.1,1559432,1,Mil,0,88.08333333333333,28.970000000000002,0.397,1.0,0.44700460829493127,0.7712445629564391,0.7999999999999999,0.17
MEN00080,Kedougou,4,4.8,1780692,1,Sorgho,1,69.02,28.853333333333335,0.4063333333333333,0.0,0.7050691244239631,0.8883533736928072,0.4526315789473684,0.51
MEN00081,Tambacounda,10,6.3,1608426,1,Sorgho,1,76.045,28.790000000000003,0.4086666666666667,0.36850848050358487,0.7695852534562218,0.7971761776776612,0.6105263157894737,0.41
MEN00082,Diourbel,14,8.7,1043864,1,Arachide,1,77.41499999999999,29.205,0.3998333333333334,0.44037419129218375,0.5253456221198167,0.4983639910784321,0.863157894736842,0.45
MEN00083,Tambacounda,11,5.1,601734,1,Maïs,0,76.045,28.790000000000003,0.4086666666666667,0.36850848050358487,0.7695852534562218,0.2643527893661008,0.4842105263157894,0.36
MEN00084,Matam,7,2.7,804323,1,Sorgho,0,82.14833333333333,28.875,0.38383333333333336,0.6886693477880748,0.08294930875576054,0.3715793863934445,0.23157894736842108,0.46
MEN00085,Diourbel,5,2.7,1555318,0,Arachide,0,77.41499999999999,29.205,0.3998333333333334,0.44037419129218375,0.5253456221198167,0.769067099124886,0.23157894736842108,0.51
MEN00086,Kolda,9,3.6,1077114,1,Mil,0,79.40833333333333,29.543333333333333,0.417,0.5449379262108761,1.0,0.5159625988565404,0.3263157894736842,0.26
MEN00087,Kedougou,9,4.2,1714378,0,Sorgho,1,69.02,28.853333333333335,0.4063333333333333,0.0,0.7050691244239631,0.8532546044838606,0.38947368421052636,0.67
MEN00088,Sedhiou,3,9.5,726236,1,Maïs,0,77.26333333333334,29.096666666666668,0.38083333333333336,0.4324182549396751,0.0,0.3302493868274553,0.9473684210526315,0.42
MEN00089,Sedhiou,6,3.1,1118465,0,Maïs,1,77.26333333333334,29.096666666666668,0.38083333333333336,0.4324182549396751,0.0,0.5378489155552638,0.2736842105263158,0.79
MEN00090,Saint-Louis,13,8.1,1618718,0,Maïs,0,85.58833333333334,28.904999999999998,0.3875,0.8691204756076242,0.1843317972350229,0.8026235422266024,0.7999999999999999,0.4
MEN00091,Louga,11,0.8,926320,0,Mil,1,77.45166666666667,28.598333333333336,0.39033333333333337,0.44229760447630734,0.26267281105990836,0.4361501338552754,0.03157894736842106,0.79
MEN00092,Diourbel,10,2.2,645587,1,Riz,0,77.41499999999999,29.205,0.3998333333333334,0.44037419129218375,0.5253456221198167,0.2875633682200371,0.17894736842105266,0.44
MEN00093,Sedhiou,8,3.7,1944738,1,Riz,1,77.26333333333334,29.096666666666668,0.38083333333333336,0.4324182549396751,0.0,0.9751798762963425,0.3368421052631579,0.57
MEN00094,Kaolack,4,5.0,1670817,0,Riz,0,72.70166666666667,28.84333333333333,0.4056666666666667,0.1931281692603605,0.6866359447004612,0.8301985758095095,0.47368421052631576,0.48
MEN00095,Saint-Louis,4,7.9,1466828,0,Mil,0,85.58833333333334,28.904999999999998,0.3875,0.8691204756076242,0.1843317972350229,0.7222309847704559,0.7789473684210527,0.41
MEN00096,Fatick,3,6.4,600265,0,Maïs,0,88.08333333333333,28.970000000000002,0.397,1.0,0.44700460829493127,0.2635752749352424,0.6210526315789474,0.43
MEN00097,Louga,6,4.9,637381,1,Arachide,0,77.45166666666667,28.598333333333336,0.39033333333333337,0.44229760447630734,0.26267281105990836,0.28322008474854365,0.46315789473684216,0.45
MEN00098,Tambacounda,5,9.7,326699,0,Riz,1,76.045,28.790000000000003,0.4086666666666667,0.36850848050358487,0.7695852534562218,0.11878186935852149,0.9684210526315788,0.61
MEN00099,Kolda,14,2.4,1341719,0,Mil,1,79.40833333333333,29.543333333333333,0.417,0.5449379262108761,1.0,0.6560131134768815,0.19999999999999998,0.56
